title,rating,adjusted rating
A remény rabjai,9.2,9.2
A keresztapa,9.2,8.9
A sötét lovag,9.0,9.3
A keresztapa II,9.0,8.7
Tizenkét dühös ember,8.9,7.1
Schindler listája,8.9,8.7
A Gyűrűk Ura: A király visszatér,8.9,9.6
Ponyvaregény,8.8,8.5
A Gyűrűk Ura: A gyűrű szövetsége,8.8,8.5
"A Jó, a Rossz és a Csúf",8.8,7.0
Forrest Gump,8.8,9.3
Harcosok klubja,8.7,8.2
Eredet,8.7,8.9
A Gyűrűk Ura: A két torony,8.7,8.0
A Birodalom visszavág,8.7,7.7
Mátrix,8.7,8.5
Nagymenők,8.7,7.6
Száll a kakukk fészkére,8.6,7.5
Hetedik,8.6,7.6
A hét szamuráj,8.6,6.4
